"","gene_name","mse_ratio"
"336","ENSG00000035115",4.78482655706842
"337","ENSG00000080546",4.77164295265566
"338","ENSG00000197724",4.76138240387381
"339","ENSG00000142453",4.755276994172
"340","ENSG00000127415",4.75134570130505
"341","ENSG00000112679",4.7489450062239
"342","ENSG00000183431",4.74818750362564
"343","ENSG00000085231",4.74470840012416
"344","ENSG00000196781",4.73601589018856
"345","ENSG00000101474",4.72786869908784
"346","ENSG00000160953",4.7150047555568
"347","ENSG00000071553",4.70534384855131
"348","ENSG00000151348",4.70515926359527
"349","ENSG00000105443",4.70488220200499
"350","ENSG00000122299",4.68581297658996
"351","ENSG00000123815",4.66654592415671
"352","ENSG00000132323",4.66442745992713
"353","ENSG00000144224",4.65232248481887
"354","ENSG00000105894",4.65087535243676
"355","ENSG00000204301",4.62872951471351
"356","ENSG00000179526",4.61850344707188
"357","ENSG00000166783",4.61094392879166
"358","ENSG00000203883",4.6082003196607
"359","ENSG00000178467",4.59388226546427
"360","ENSG00000160796",4.58641188721895
"361","ENSG00000102893",4.58198708294821
"362","ENSG00000085662",4.57481149382338
"363","ENSG00000130813",4.56219442534881
"364","ENSG00000177889",4.55627502868503
"365","ENSG00000185909",4.54552107742496
"366","ENSG00000121057",4.54227430309491
"367","ENSG00000125450",4.53767358957488
"368","ENSG00000163938",4.53372760570742
"369","ENSG00000125505",4.53178679340462
"370","ENSG00000173917",4.52745412733441
"371","ENSG00000135018",4.5101504599846
"372","ENSG00000162889",4.50046939438414
"373","ENSG00000196739",4.5002839325354
"374","ENSG00000011009",4.49499464825496
"375","ENSG00000181666",4.48403906229746
"376","ENSG00000134287",4.47935724813706
"377","ENSG00000134186",4.47829946182006
"378","ENSG00000163930",4.47756582845666
"379","ENSG00000115649",4.47189712236938
"380","ENSG00000065000",4.4670815216129
"381","ENSG00000077235",4.44363293163853
"382","ENSG00000074219",4.43555826352948
"383","ENSG00000124214",4.43116916544685
"384","ENSG00000139926",4.42229436307442
"385","ENSG00000116670",4.42194536764502
"386","ENSG00000150753",4.42056590095847
"387","ENSG00000132376",4.39034553783638
"388","ENSG00000100417",4.37321262833563
"389","ENSG00000006712",4.36900469023724
"390","ENSG00000125124",4.36316298965608
"391","ENSG00000115548",4.3539422124085
"392","ENSG00000116871",4.34651981677865
"393","ENSG00000099331",4.34581965752276
"394","ENSG00000163636",4.34300589399468
"395","ENSG00000105341",4.33945988829052
"396","ENSG00000168214",4.33747595322584
"397","ENSG00000177311",4.33619348035542
"398","ENSG00000185432",4.32822888696887
"399","ENSG00000178028",4.32376649752178
"400","ENSG00000101751",4.32302847295575
"401","ENSG00000106628",4.32003230534206
"402","ENSG00000178685",4.31376720114113
"403","ENSG00000133316",4.30942250717892
"404","ENSG00000163320",4.3081357742939
"405","ENSG00000228315",4.30189843431134
"406","ENSG00000126261",4.29872700302814
"407","ENSG00000180354",4.29393126062706
"408","ENSG00000107140",4.29338314284503
"409","ENSG00000168591",4.2817013377273
"410","ENSG00000080189",4.27739214798628
"411","ENSG00000163702",4.27556905667272
"412","ENSG00000167693",4.2700621786468
"413","ENSG00000144524",4.26700591336191
"414","ENSG00000141510",4.26596765441192
"415","ENSG00000170445",4.24505220347698
"416","ENSG00000183751",4.2441325387608
"417","ENSG00000074935",4.23668596044321
"418","ENSG00000147853",4.23418182097578
"419","ENSG00000110811",4.23290199599154
"420","ENSG00000162976",4.22984356113235
"421","ENSG00000061987",4.2297841311879
"422","ENSG00000167244",4.22458735877405
"423","ENSG00000136518",4.22348919699762
"424","ENSG00000173674",4.204327606868
"425","ENSG00000138002",4.20136073553252
"426","ENSG00000145687",4.1935324504637
"427","ENSG00000241878",4.19137963355802
"428","ENSG00000071655",4.182867517311
"429","ENSG00000189409",4.18258539011897
"430","ENSG00000071462",4.18218530779647
"431","ENSG00000176435",4.17308454287355
"432","ENSG00000158793",4.1674145110202
"433","ENSG00000064490",4.16387872531856
"434","ENSG00000110274",4.16200986425363
"435","ENSG00000113593",4.16098338598235
"436","ENSG00000198363",4.15283163812441
"437","ENSG00000153443",4.15214055714149
"438","ENSG00000213782",4.15167269501251
"439","ENSG00000063180",4.14573373758385
"440","ENSG00000157540",4.143634223937
"441","ENSG00000187609",4.14030159946008
"442","ENSG00000188986",4.14019813147874
"443","ENSG00000148660",4.12901406656219
"444","ENSG00000103415",4.11208115701948
"445","ENSG00000064601",4.10634795644203
"446","ENSG00000134684",4.10077169425825
"447","ENSG00000185800",4.09864837468055
"448","ENSG00000141456",4.09611567313278
"449","ENSG00000116132",4.09417750104874
"450","ENSG00000136451",4.09400092052753
"451","ENSG00000211679",4.0905214368695
"452","ENSG00000157227",4.08764098254107
"453","ENSG00000197070",4.08236649113983
"454","ENSG00000133858",4.07428395594098
"455","ENSG00000142186",4.06080555446195
"456","ENSG00000128245",4.06041894961312
"457","ENSG00000170502",4.05104385310251
"458","ENSG00000158526",4.04399876065506
"459","ENSG00000213398",4.03666533965532
"460","ENSG00000114120",4.02471548144375
"461","ENSG00000120071",4.01834994436537
"462","ENSG00000204344",4.01690008073621
"463","ENSG00000165006",4.00914770648963
"464","ENSG00000138468",4.00761814934092
"465","ENSG00000130024",4.00678658843695
"466","ENSG00000089486",4.00308751405767
"467","ENSG00000117054",3.99996534679109
"468","ENSG00000092098",3.99556341344152
"469","ENSG00000145216",3.98915877504153
"470","ENSG00000143570",3.98900797050799
"471","ENSG00000176845",3.98730582589861
"472","ENSG00000106617",3.98496320489875
"473","ENSG00000070404",3.98343407250224
"474","ENSG00000078304",3.98207724041912
"475","ENSG00000164880",3.98127291263982
"476","ENSG00000072134",3.97864710006439
"477","ENSG00000087884",3.97127983705836
"478","ENSG00000178695",3.96824585939747
"479","ENSG00000153885",3.96534470239506
"480","ENSG00000114650",3.96462400908579
"481","ENSG00000005486",3.96273601903611
"482","ENSG00000172046",3.96206148269148
"483","ENSG00000100325",3.95791060242759
"484","ENSG00000152520",3.95550469194734
"485","ENSG00000102401",3.9525359206067
"486","ENSG00000060491",3.94897585364561
"487","ENSG00000136271",3.93222040965684
"488","ENSG00000176386",3.93204966096895
"489","ENSG00000214753",3.92204091758512
"490","ENSG00000160271",3.91538983562634
"491","ENSG00000088280",3.90779251084278
"492","ENSG00000088881",3.90575799280484
"493","ENSG00000100564",3.89933278938759
"494","ENSG00000163644",3.89816976082027
"495","ENSG00000185246",3.89503850668851
"496","ENSG00000100949",3.88839953124851
"497","ENSG00000100568",3.87010382277449
"498","ENSG00000153560",3.86435449994842
"499","ENSG00000175221",3.86143004557403
"500","ENSG00000105971",3.85961173850393
"501","ENSG00000134905",3.8509538367779
"502","ENSG00000168140",3.85050074955338
"503","ENSG00000085982",3.83997791520015
"504","ENSG00000149294",3.83862853021192
"505","ENSG00000115207",3.83166753734676
"506","ENSG00000196352",3.82417608196395
"507","ENSG00000167635",3.81859445688841
"508","ENSG00000108433",3.80298829045717
"509","ENSG00000249751",3.80287162363551
"510","ENSG00000168994",3.80252250819148
"511","ENSG00000100997",3.79389092951605
"512","ENSG00000122390",3.79104055737269
"513","ENSG00000140350",3.78490585761249
"514","ENSG00000157954",3.78269432431374
"515","ENSG00000215305",3.75836630581862
"516","ENSG00000182310",3.75744618458844
"517","ENSG00000107957",3.75733163605928
"518","ENSG00000115760",3.75623622516144
"519","ENSG00000166831",3.75582652430436
"520","ENSG00000163947",3.75493119707014
"521","ENSG00000166579",3.75424761511307
"522","ENSG00000105552",3.74991591337112
"523","ENSG00000240303",3.7487103782925
"524","ENSG00000161551",3.74404982763296
"525","ENSG00000128283",3.74348002280851
"526","ENSG00000143303",3.73775670926601
"527","ENSG00000120837",3.73490611819272
"528","ENSG00000115286",3.73151939829309
"529","ENSG00000132463",3.72928036087605
"530","ENSG00000082258",3.72414970199048
"531","ENSG00000105723",3.71835913959645
"532","ENSG00000205758",3.71648272038059
"533","ENSG00000102241",3.70878263335347
"534","ENSG00000135862",3.70260618973551
"535","ENSG00000051009",3.7010531513817
"536","ENSG00000100220",3.6970506515472
"537","ENSG00000173327",3.69311345955736
"538","ENSG00000106554",3.68910001144711
"539","ENSG00000105220",3.68077469305139
"540","ENSG00000161265",3.67695689035551
"541","ENSG00000162144",3.67459314910495
"542","ENSG00000177963",3.66421464504788
"543","ENSG00000134533",3.66401195258566
"544","ENSG00000053900",3.66345037602312
"545","ENSG00000167280",3.66320231586624
"546","ENSG00000118689",3.6551203009088
"547","ENSG00000110917",3.64354978232653
"548","ENSG00000164331",3.64330501532331
"549","ENSG00000115419",3.63759713425446
"550","ENSG00000018408",3.63416218181457
"551","ENSG00000198169",3.63398165825265
"552","ENSG00000005007",3.63362564659703
"553","ENSG00000119403",3.6298940303614
"554","ENSG00000119333",3.62078874940865
"555","ENSG00000170919",3.61143611944656
"556","ENSG00000146830",3.61089238291877
"557","ENSG00000154144",3.60742174935401
"558","ENSG00000007080",3.59762460707427
"559","ENSG00000136536",3.59446473043154
"560","ENSG00000082996",3.59146877717143
"561","ENSG00000105258",3.58778680932806
"562","ENSG00000184497",3.58682960937719
"563","ENSG00000143727",3.58254363840789
"564","ENSG00000117625",3.58165286820285
"565","ENSG00000072682",3.58018950273182
"566","ENSG00000139793",3.57691530986378
"567","ENSG00000136848",3.57254487512258
"568","ENSG00000134899",3.56676481099907
"569","ENSG00000100028",3.56241087572079
"570","ENSG00000104129",3.55839458727752
"571","ENSG00000145916",3.55760671807417
"572","ENSG00000122417",3.54847669764954
"573","ENSG00000025796",3.54810722205322
"574","ENSG00000143772",3.54507657269148
"575","ENSG00000110107",3.54465969122261
"576","ENSG00000129625",3.53469309542302
"577","ENSG00000108622",3.53465739681136
"578","ENSG00000164329",3.53462703786198
"579","ENSG00000128989",3.52636262083748
"580","ENSG00000104047",3.52431247944231
"581","ENSG00000215252",3.52255684928532
"582","ENSG00000183513",3.52127604052007
"583","ENSG00000102181",3.52089291254438
"584","ENSG00000144029",3.5188067293728
"585","ENSG00000135677",3.51735006210139
"586","ENSG00000176476",3.51281799086628
"587","ENSG00000065548",3.50829797831257
"588","ENSG00000151498",3.49560091966832
"589","ENSG00000223959",3.48994268912392
"590","ENSG00000153786",3.48975121053704
"591","ENSG00000141425",3.48303027049883
"592","ENSG00000113643",3.48143669917135
"593","ENSG00000181090",3.48091370425454
"594","ENSG00000138760",3.47409697918827
"595","ENSG00000176783",3.47005569262628
"596","ENSG00000014914",3.4642713257809
"597","ENSG00000204351",3.46097971981329
"598","ENSG00000061936",3.45389847237623
"599","ENSG00000204520",3.44954695663297
"600","ENSG00000059758",3.44458935380485
"601","ENSG00000050628",3.43976071156671
"602","ENSG00000089006",3.43634622780566
"603","ENSG00000213625",3.4342122391828
"604","ENSG00000100883",3.43148895198696
"605","ENSG00000141027",3.42791686717667
"606","ENSG00000166887",3.42769911258432
"607","ENSG00000124380",3.42683626912441
"608","ENSG00000138430",3.42611052335192
"609","ENSG00000175287",3.42101634707937
"610","ENSG00000136098",3.4174841082843
"611","ENSG00000102858",3.41197561167189
"612","ENSG00000133275",3.40620132772297
"613","ENSG00000143013",3.40442348017131
"614","ENSG00000037042",3.40143685087299
"615","ENSG00000109445",3.39937644432796
"616","ENSG00000119699",3.39621097098769
"617","ENSG00000130222",3.39298678677675
"618","ENSG00000157483",3.38907197798534
